holders_ratio_category,grant_id,title,holders_ratio,contributor_count_in_round,amount_received_in_round,amount_per_contributor,amount_per_contribution,stamps_per_amount,contribution_count,tx_count_in_round,stamps_per_tx,stamp_holders_tx,valid_stamps_count
normal,6200,Hibiscus DAO,0.6243654822335025,197,677.533,3.336661455108359,2.836162236842105,1.9216776157028512,760,197,6.609137055837564,123.0,1302.0
normal,3491,The Daily Gwei en Español,0.4,20,101.4173,6.590209595959596,5.608287249283667,0.8578418080544444,698,20,4.35,8.0,87.0
normal,7237,"Kula: Connecting Globally, Acting Locally",0.625,16,45.8479,2.86549375,2.86549375,2.3992374787067674,16,16,6.875,10.0,110.0
normal,7431,Publish Science | SciDAO,0.6222222222222222,90,500.7041,5.755219540229885,5.502242857142857,1.1683547228792417,91,90,6.5,56.0,585.0
normal,7468,A Giant Lab for Better Diagnostic Solutions for Neglected Diseases,0.5294117647058824,17,142.7221,8.92013125,8.395417647058824,0.6235894791346259,17,17,5.235294117647059,9.0,89.0
normal,4874,Autonomous Web3 Carbon Offsetting for Decentralised Communities,0.4305555555555556,360,1005.6313,5.275899646486964,4.149213171155517,1.4816563486041057,5755,360,4.138888888888889,155.0,1490.0
normal,7223,zkForms: Proof of Humanity,0.648936170212766,94,156.9135,1.7434833333333333,1.634515625,3.039891405137225,96,94,5.074468085106383,61.0,477.0
normal,7445,"pRoots: empower people to store, share, annotate and learn genomic data in DeSci ecosystem",0.5766423357664233,137,2327.5151,14.644526708074531,9.468951004016064,0.2590745812991718,249,137,4.401459854014599,79.0,603.0
normal,6819,w1nt3r,0.5882352941176471,17,190.0518,10.558433333333332,10.558433333333332,0.3630589134120277,18,17,4.0588235294117645,10.0,69.0
normal,4098,Indigenous Legal Fund for Climate Action - Beyond Fossil Fuels,0.5652173913043478,23,134.5781,12.936051174934724,8.3129322147651,0.7802160975671376,596,23,4.565217391304348,13.0,105.0
normal,7297,Dolven Labs - DAO Based Ecosystem Catalyst for Starknet,0.5708154506437768,699,1487.6238,2.986375036927622,2.76198893442623,2.474415910796802,732,699,5.266094420600858,399.0,3681.0
normal,6264,TestNetRun,0.6639344262295082,122,345.8733,3.069941228070175,2.712971317829457,1.8735184242322265,129,122,5.311475409836065,81.0,648.0
normal,3531,Dataverse: your ownable personal space,0.5940959409594095,271,449.0909,6.866996850058529,4.258788899155227,3.4848178843080544,30304,271,5.7749077490774905,161.0,1565.0
normal,2445,The ((word block)),0.5865921787709497,179,291.4764,4.77499004854369,3.6397703977798335,3.835645012769473,1081,179,6.245810055865922,105.0,1118.0
normal,7011,Funding Fusion Energy Innovation As A Public Good - FrontierDAO,0.6330275229357798,109,287.6705,2.848222772277228,2.5684866071428574,1.960576423373269,112,109,5.174311926605505,69.0,564.0
normal,7464,0xDeadList,0.4957044673539519,1164,1667.0564,1.7791423692636072,1.3136772261623324,3.141465399730927,1269,1164,4.49914089347079,577.0,5237.0
normal,6686,Kokonut Network: Agriculture + Blockchain + Community,0.5853658536585366,164,466.4183,2.915114375,2.6960595375722542,1.6508786211861757,173,164,4.695121951219512,96.0,770.0
normal,7536,Truust: A proposed new computational model as an approach to hyper-computing,0.5,14,47.6924,1.2550631578947369,0.3096909090909091,2.096770135283609,154,14,7.142857142857143,7.0,100.0
normal,782,Ethereum Cat Herders Community Fund,0.5434782608695652,46,756.1285,11.77678207036536,8.524037169441725,0.4668518644648363,2042,46,7.673913043478261,25.0,353.0
normal,5939,LunCo: Decentralizing The Lunar Colonization,0.6715328467153284,137,925.1386,7.67129296875,6.914968309859155,0.8820300006939501,142,137,5.956204379562044,92.0,816.0
normal,7137,WTF is a  .eth and WTF can I do with it?,0.6363636363636364,22,58.1559,2.769328571428572,2.64345,2.527688506239264,22,22,6.681818181818182,14.0,147.0
normal,4326,"OUR 40acres, an internet native approach to building community resilience and healing the digital divide!",0.6388888888888888,144,1234.2561,8.677111940298508,5.301214285714286,0.6935351585461073,329,144,5.944444444444445,92.0,856.0
normal,3998,"Lifespan.io Meets Web3 - Crowdsourced Clinical Trials, Inverse Quadratic Funding, and You!",0.5583333333333333,120,1169.4447,92.31553745019922,69.44415554445555,0.5831827704208673,1001,120,5.683333333333334,67.0,682.0
normal,7888,"Future Quest: A web3 ecosystem committed to fixing our future. Part game, part launch pad for public good Quests for our planet.",0.4736842105263157,57,1036.1549,19.188053703703705,18.17815614035088,0.2596136928947593,57,57,4.719298245614035,27.0,269.0
normal,7333,Active Blockference: an Open Source Package for Cognitive Modeling in Web3,0.5714285714285714,70,2375.9268,25.558352688172047,11.15928075117371,0.1885579976622175,213,70,6.4,40.0,448.0
normal,7202,🔥ENS UPDATES🔥,0.53125,32,175.4037,5.011534285714285,5.011534285714285,0.712641751570805,35,32,3.90625,17.0,125.0
normal,7791,Chainlist,0.6252821670428894,443,1060.723,2.3312593406593405,2.191576446280992,2.8367443715277223,484,443,6.792325056433409,277.0,3009.0
normal,615,Meta Gamma Delta DAO: Funding Women-Led Initiatives,0.625,64,445.0913,28.059037725225227,19.10768826687117,1.051469664763162,1304,64,7.3125,40.0,468.0
normal,1573,Metagov: research on digital self-governance,0.6363636363636364,55,979.1021,12.574442857142856,10.604951807228916,0.3799399470188043,166,55,6.763636363636364,35.0,372.0
